Completed Date,Product name,Description,Interest rate (p.a.),Money out,Money in,Balance
"30 Jun 2023","","Saldo z przeniesienia","","","","0 PLN"
"10 Jul 2023","Instant Access - Aion Bank","Wpłata","","","+20,000 PLN","20,000 PLN"
"10 Jul 2023","Instant Access - Aion Bank","Wypłata","","-20,000 PLN","","0 PLN"
"28 Aug 2023","Instant Access - Aion Bank","Wpłata","","","+4,000 PLN","4,000 PLN"
"29 Aug 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/08/29","4.05%","","+0.44 PLN","4,000.44 PLN"
"30 Aug 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/08/30","4.05%","","+0.45 PLN","4,000.89 PLN"
"31 Aug 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/08/31","4.05%","","+0.44 PLN","4,001.33 PLN"
"1 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/01","4.05%","","+0.45 PLN","4,001.78 PLN"
"2 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/02","4.05%","","+0.44 PLN","4,002.22 PLN"
"3 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/03","4.05%","","+0.44 PLN","4,002.66 PLN"
"4 Sep 2023","Instant Access - Aion Bank","Wpłata","","","+3,000 PLN","7,002.66 PLN"
"4 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/04","4.05%","","+0.45 PLN","7,003.11 PLN"
"5 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/05","4.05%","","+0.77 PLN","7,003.88 PLN"
"6 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/06","4.05%","","+0.78 PLN","7,004.66 PLN"
"7 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/07","4.05%","","+0.78 PLN","7,005.44 PLN"
"8 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/08","4.05%","","+0.78 PLN","7,006.22 PLN"
"9 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/09","4.05%","","+0.77 PLN","7,006.99 PLN"
"10 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/10","4.05%","","+0.78 PLN","7,007.77 PLN"
"11 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/11","4.05%","","+0.78 PLN","7,008.55 PLN"
"12 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/12","4.05%","","+0.78 PLN","7,009.33 PLN"
"13 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/13","4.05%","","+0.77 PLN","7,010.10 PLN"
"14 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/14","4.05%","","+0.78 PLN","7,010.88 PLN"
"15 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/15","4.05%","","+0.78 PLN","7,011.66 PLN"
"16 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/16","4.05%","","+0.78 PLN","7,012.44 PLN"
"17 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/17","4.05%","","+0.78 PLN","7,013.22 PLN"
"18 Sep 2023","Instant Access - Aion Bank","Wpłata","","","+2,000 PLN","9,013.22 PLN"
"18 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/18","4.05%","","+0.77 PLN","9,013.99 PLN"
"19 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/19","4.05%","","+1 PLN","9,014.99 PLN"
"20 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/20","4.05%","","+1.01 PLN","9,016 PLN"
"21 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/21","4.05%","","+1 PLN","9,017 PLN"
"22 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/22","4.05%","","+1 PLN","9,018 PLN"
"23 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/23","4.05%","","+1 PLN","9,019 PLN"
"24 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/24","4.05%","","+1 PLN","9,020 PLN"
"25 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/25","4.05%","","+1 PLN","9,021 PLN"
"26 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/26","4.05%","","+1 PLN","9,022 PLN"
"27 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/27","4.05%","","+1 PLN","9,023 PLN"
"28 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/28","4.05%","","+1 PLN","9,024 PLN"
"29 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/29","4.05%","","+1 PLN","9,025 PLN"
"30 Sep 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/09/30","4.05%","","+1 PLN","9,026 PLN"
"1 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/01","4.05%","","+1.01 PLN","9,027.01 PLN"
"2 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/02","4.05%","","+1 PLN","9,028.01 PLN"
"3 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/03","4.05%","","+1 PLN","9,029.01 PLN"
"3 Oct 2023","Instant Access - Aion Bank","Wpłata","","","+500 PLN","9,529.01 PLN"
"4 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/04","4.05%","","+1.06 PLN","9,530.07 PLN"
"5 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/05","4.05%","","+1.05 PLN","9,531.12 PLN"
"6 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/06","4.05%","","+1.06 PLN","9,532.18 PLN"
"7 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/07","4.05%","","+1.06 PLN","9,533.24 PLN"
"8 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/08","4.05%","","+1.06 PLN","9,534.30 PLN"
"9 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/09","4.05%","","+1.05 PLN","9,535.35 PLN"
"10 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/10","4.05%","","+1.06 PLN","9,536.41 PLN"
"11 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/11","4.05%","","+1.06 PLN","9,537.47 PLN"
"12 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/12","4.05%","","+1.06 PLN","9,538.53 PLN"
"13 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/13","4.05%","","+1.06 PLN","9,539.59 PLN"
"14 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/14","4.05%","","+1.06 PLN","9,540.65 PLN"
"15 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/15","4.05%","","+1.05 PLN","9,541.70 PLN"
"16 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/16","4.05%","","+1.06 PLN","9,542.76 PLN"
"17 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/17","4.05%","","+1.06 PLN","9,543.82 PLN"
"18 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/18","4.05%","","+1.06 PLN","9,544.88 PLN"
"19 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/19","4.05%","","+1.06 PLN","9,545.94 PLN"
"20 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/20","4.05%","","+1.06 PLN","9,547 PLN"
"21 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/21","4.05%","","+1.06 PLN","9,548.06 PLN"
"22 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/22","4.05%","","+1.06 PLN","9,549.12 PLN"
"23 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/23","4.05%","","+1.06 PLN","9,550.18 PLN"
"24 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/24","4.05%","","+1.06 PLN","9,551.24 PLN"
"25 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/25","4.05%","","+1.06 PLN","9,552.30 PLN"
"26 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/26","4.05%","","+1.06 PLN","9,553.36 PLN"
"27 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/27","4.05%","","+1.06 PLN","9,554.42 PLN"
"28 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/28","4.05%","","+1.06 PLN","9,555.48 PLN"
"29 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/29","4.05%","","+1.06 PLN","9,556.54 PLN"
"30 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/30","4.05%","","+1.06 PLN","9,557.60 PLN"
"31 Oct 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/10/31","4.05%","","+1.06 PLN","9,558.66 PLN"
"1 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/01","4.05%","","+1.06 PLN","9,559.72 PLN"
"2 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/02","4.05%","","+1.06 PLN","9,560.78 PLN"
"3 Nov 2023","Instant Access - Aion Bank","Wpłata","","","+500 PLN","10,060.78 PLN"
"3 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/03","4.05%","","+1.06 PLN","10,061.84 PLN"
"4 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/04","4.05%","","+1.12 PLN","10,062.96 PLN"
"5 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/05","4.05%","","+1.11 PLN","10,064.07 PLN"
"6 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/06","4.05%","","+1.12 PLN","10,065.19 PLN"
"7 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/07","4.05%","","+1.12 PLN","10,066.31 PLN"
"8 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/08","4.05%","","+1.11 PLN","10,067.42 PLN"
"9 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/09","4.05%","","+1.12 PLN","10,068.54 PLN"
"10 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/10","4.05%","","+1.12 PLN","10,069.66 PLN"
"11 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/11","4.05%","","+1.12 PLN","10,070.78 PLN"
"12 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/12","4.05%","","+1.11 PLN","10,071.89 PLN"
"13 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/13","4.05%","","+1.12 PLN","10,073.01 PLN"
"14 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/14","4.05%","","+1.12 PLN","10,074.13 PLN"
"15 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/15","4.05%","","+1.12 PLN","10,075.25 PLN"
"16 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/16","4.05%","","+1.11 PLN","10,076.36 PLN"
"17 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/17","4.05%","","+1.12 PLN","10,077.48 PLN"
"18 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/18","4.05%","","+1.12 PLN","10,078.60 PLN"
"19 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/19","4.05%","","+1.12 PLN","10,079.72 PLN"
"20 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/20","4.05%","","+1.12 PLN","10,080.84 PLN"
"21 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/21","4.05%","","+1.12 PLN","10,081.96 PLN"
"22 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/22","3.05%","","+0.82 PLN","10,082.78 PLN"
"23 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/23","3.05%","","+0.83 PLN","10,083.61 PLN"
"24 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/24","3.05%","","+0.83 PLN","10,084.44 PLN"
"25 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/25","3.05%","","+0.83 PLN","10,085.27 PLN"
"26 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/26","3.05%","","+0.83 PLN","10,086.10 PLN"
"27 Nov 2023","Instant Access - Aion Bank","Odsetki brutto
Wypłacone dnia 2023/11/27","3.05%","","+0.83 PLN","10,086.93 PLN"
"27 Nov 2023","","Saldo do przeniesienia","","","","10,086.93 PLN"
