Summary for Crypto,,,,,,
Sells summary,Amount,,,,,
Wpływy brutto,"65,65$",,,,,
Podstawa kosztowa,"50,97$",,,,,
Zrealizowany zysk/strata brutto,"14,68$",,,,,
,,,,,,
Transactions for Crypto,,,,,,
Date acquired,Date sold,Token name,Qty,Cost basis,Gross proceeds,Gross PnL
14 lut 2020,6 gru 2024,BCH,0.10173868,"50,97$","63,28$","12,31$"
25 lut 2023,6 gru 2024,DOT,0.06964174,0$,"0,74$","0,74$"
25 lut 2023,6 gru 2024,DOT,0.03513633,0$,"0,37$","0,37$"
9 cze 2024,6 gru 2024,BONK,3548.6505,0$,"0,15$","0,15$"
9 cze 2024,6 gru 2024,BONK,3560.0285,0$,"0,16$","0,16$"
9 cze 2024,6 gru 2024,ROSE,0.92627804,0$,"0,13$","0,13$"
9 cze 2024,6 gru 2024,ROSE,0.93019359,0$,"0,13$","0,13$"
9 cze 2024,6 gru 2024,ROSE,0.92879276,0$,"0,12$","0,12$"
9 cze 2024,6 gru 2024,SEI,0.20217749,0$,"0,14$","0,14$"
9 cze 2024,6 gru 2024,SEI,0.20220137,0$,"0,14$","0,14$"
9 cze 2024,6 gru 2024,SEI,0.20194766,0$,"0,14$","0,14$"
9 cze 2024,6 gru 2024,SEI,0.20209603,0$,"0,15$","0,15$"