Income from Sells,,,,,,,,,,
Date acquired,Date sold,Symbol,Security name,ISIN,Country,Quantity,Cost basis,Gross proceeds,Gross PnL,Currency
,,,,,,,,,,
Other income & fees,,,,,,,,,,
Date,Symbol,Security name,ISIN,Country,Gross amount,Withholding tax,Net Amount,Currency,,
2024-06-04,QDVY,iShares Floating Rate Bond ETF (Dist),IE00BZ048462,IE,2.8,0.68 PLN,2.12 PLN,PLN,,
2024-06-20,EXI2,iShares Dow Jones Global Titans 50 ETF (Dist),DE0006289382,DE,0.34,0.08 PLN,0.26 PLN,PLN,,
2024-06-28,IS3K,iShares Short Duration High Yield Corporate Bond ETF (Dist),IE00BCRY6003,IE,3.79,0.94 PLN,2.85 PLN,PLN,,
2024-07-01,IBCD,iShares Corporate Bond ETF (Dist),IE0032895942,IE,1.07,0.25 PLN,0.82 PLN,PLN,,
2024-09-27,IBCD,iShares Corporate Bond ETF (Dist),IE0032895942,IE,1.02,0.25 PLN,0.77 PLN,PLN,,
2024-09-27,IUSU,iShares USD Treasury Bond 1-3yr ETF (Dist),IE00B14X4S71,IE,1.71,0.42 PLN,1.29 PLN,PLN,,
2024-11-29,QDVY,iShares Floating Rate Bond ETF (Dist),IE00BZ048462,IE,2.92,0.73 PLN,2.19 PLN,PLN,,
2024-12-17,EXI2,iShares Dow Jones Global Titans 50 ETF (Dist),DE0006289382,DE,0.04,0 PLN,0.04 PLN,PLN,,
2024-12-31,IBCD,iShares Corporate Bond ETF (Dist),IE0032895942,IE,1.07,0.25 PLN,0.82 PLN,PLN,,